CountryCode3-world.Name,world.Area
ABW,"[[[[-69.88223,12.41111],[-70.05945,12.538055],[-70.063065,12.628611],[-69.88223,12.41111]]]]"
AFG,"[[[[61.2781151769,35.6078214001],[61.5967284158,35.4461577535],[62.0416882839,35.4416624077],[62.3108615375,35.1444102148],[62.4701681570,35.2886700346],[62.6294747765,35.2255881939],[63.0854213080,35.4326709564],[63.1843012787,35.6750842200],[63.1238746300,35.8631159790],[63.2941679128,35.8497000163],[63.9753410443,36.0373149321],[64.4642475661,36.2511811505],[64.6345408490,36.4866410065],[64.6400341807,36.6904190869],[64.7938474685,36.9201227170],[64.7828608051,37.1007447144],[65.0685140538,37.2414169636],[65.5244605853,37.2458087147],[65.7002471999,37.5307184309],[66.2880336924,37.3248160883],[66.5352336192,37.3642883968],[67.0131534776,37.3818249275],[67.2658467360,37.1843007172],[67.5240333262,37.2677635983],[67.7822199164,37.1843007172],[68.0019531846,36.9377634282],[68.6611529893,37.2721538006],[68.9687795648,37.3248160883],[69.2544328135,37.0963444519],[69.4082461013,37.1755097324],[69.3807794427,37.4519296959],[69.5236060671,37.5831976795],[69.9136326182,37.6137933595],[70.1553392132,37.5350931251],[70.2871791742,37.7011396580],[70.2432325205,37.9451575656],[70.7101657155,38.4091400737],[70.9628589740,38.4739460957],[71.3638721885,38.2490345263],[71.2540055544,37.9277547033],[71.5066988128,37.9495076320],[71.5890987884,37.8145348600],[71.4957121494,37.5613358555],[71.4297921690,37.0655353980],[71.5506454665,36.7655909582],[71.8417920469,36.6904190869],[72.2263252663,36.9421729627],[72.6602984710,37.0259052058],[72.7756584368,37.2106674801],[73.2975249489,37.4606881383],[73.7754448073,37.4344097083],[73.6326181829,37.2414169636],[73.8193914609,37.2282401619],[74.2533646657,37.4081219706],[74.6708578753,37.3905916423],[74.9180578021,37.2370249544],[74.7587511826,37.2984895925],[74.3961912900,37.1447331615],[74.5664845729,37.0259052058],[74.0336313974,36.8141920185],[73.6655781732,36.9113008175],[72.5778984954,36.8274414558],[72.1439252907,36.6461656771],[71.5836054567,36.3445625367],[71.1880855739,36.0506987967],[71.4407788324,35.8675874575],[71.6495254372,35.4281748509],[71.4957121494,34.9591996753],[71.0892056032,34.6692447761],[71.0013122959,34.4647546554],[71.1551255837,34.3554859634],[71.0837122715,34.0542555023],[70.8804589984,33.9627592972],[70.4794457839,33.9444481204],[70.0015259255,34.0496830555],[69.8696859645,33.9352910408],[70.1333658864,33.7335840469],[70.3256324961,33.3333436100],[70.0289925840,33.1348343466],[69.5620593890,33.0793552910],[69.4576860866,32.6760769789],[69.2489394818,32.4388133073],[69.3258461257,31.9389734254],[69.0182195502,31.6527813844],[68.8259529405,31.6057793810],[68.5787530137,31.8217898329],[68.1612598041,31.8311700575],[67.9689931944,31.6339834606],[67.5789666433,31.5305263277],[67.7932065798,31.3421257635],[67.3867000336,31.2147394971],[67.0351268044,31.3185488252],[66.7220068972,31.2052965689],[66.5627002777,30.9736478203],[66.3979003265,30.9452435101],[66.2825403607,30.5704597079],[66.3539536729,30.4420318616],[66.2385937071,30.0652803975],[66.2550737022,29.8500244129],[65.0355540635,29.5430738631],[64.3818475906,29.5526803932],[64.0577410199,29.4132955169],[63.5853144932,29.5046385221],[63.2282479324,29.4758023398],[62.4866481521,29.4084856895],[60.8661152989,29.8643894499],[61.7560350352,30.7888674760],[61.8494216742,31.0257002238],[61.7120883816,31.3845492194],[60.8496353038,31.4975838421],[60.8056886502,31.9951680549],[60.8496353038,32.2616175258],[60.5859553819,33.1486985846],[60.8935819575,33.5543972149],[60.5310220649,33.6417403836],[60.5035554064,34.1228123295],[60.6738486892,34.3144730835],[60.8771019623,34.3190310694],[60.7232886746,34.5284281717],[60.9759819330,34.6510884318],[61.1297952208,35.0857308123],[61.1078218940,35.2796613762],[61.2781151769,35.6078214001]]]]"
AGO,"[[[[23.4784997101,-17.6242420048],[21.3800469985,-18.0136108364],[21.2372203742,-17.9400126177],[20.8526871548,-18.0188666632],[20.3198339793,-17.8558624242],[19.4134342479,-17.8611229941],[18.7542344432,-17.7453541380],[18.4521011994,-17.3923201154],[14.2167424543,-17.3870456867],[13.9915158544,-17.4239634537],[13.4916226691,-17.0280256180],[13.1510361034,-16.9540225538],[12.6017029328,-17.2234622635],[12.0853297525,-17.1389746413],[11.7502365184,-17.2551350567],[11.8216498306,-16.5040889127],[11.7392498550,-15.8777197438],[12.0084231086,-15.5957365188],[12.0578630940,-15.2173710948],[12.2721030305,-14.7528018664],[12.3160496841,-14.1907770866],[12.5028229621,-13.8421445345],[12.5138096255,-13.4230868050],[12.9642628254,-12.9494139649],[12.9697561571,-12.7823327311],[13.3542893765,-12.6043490007],[13.6619159520,-12.1723565024],[13.7937559130,-11.7937775978],[13.8541825617,-11.0024842142],[13.7443159276,-10.6440591354],[13.5410626545,-10.4211850594],[13.3158360546,-9.9640638170],[13.1400494400,-9.3371947722],[12.9862361522,-9.0806624597],[13.4092226936,-8.6599862486],[13.3927426984,-8.3920333679],[12.8708761864,-7.2690408082],[12.8159428694,-6.9507798209],[12.5467696158,-6.6542712342],[12.2611163671,-6.1322001412],[12.7939695425,-6.0167234720],[13.1785027619,-5.8572149185],[13.9750358592,-5.8352100873],[14.5957823420,-5.9067225720],[15.0737022004,-5.8627159892],[16.1009552293,-5.8572149185],[16.5953550829,-5.9232241286],[16.7271950438,-6.1981754666],[16.6887417219,-6.4070417700],[16.9689016388,-7.0166451734],[16.9963682974,-7.2964665506],[17.1501815851,-7.4555020772],[17.5237281411,-8.0527230819],[18.1170079653,-8.1074703545],[18.1939146092,-7.9979683099],[18.7652211066,-7.9377294583],[18.7926877651,-7.9979683099],[19.3749809259,-7.9924924222],[19.3749809259,-7.5815921603],[19.5287942137,-7.4774334480],[19.5397808771,-6.9946911006],[20.3088473159,-6.9946911006],[20.6274605548,-6.9123540400],[20.5505539109,-7.2854964576],[21.7755668813,-7.2800113091],[21.8524735252,-7.5925547562],[21.7535935545,-8.0034441232],[21.9348735008,-8.4193841829],[21.7920468764,-9.4135719276],[21.8524735252,-9.6207947872],[22.1765800958,-9.9640638170],[22.3139133885,-10.3776784860],[22.3139133885,-10.7255573991],[22.1655934324,-10.8613383471],[22.2974333934,-11.2357671675],[22.5171666616,-11.0458999810],[23.2148197882,-11.0784575391],[23.4235663930,-10.9644901020],[23.8575395978,-11.0296198293],[23.9838862270,-10.8721981325],[24.0827661977,-11.4038296578],[23.9674062319,-11.6638563613],[23.9838862270,-12.2101846424],[24.0498062075,-12.3938431845],[23.8904995880,-12.8254612476],[24.0168462172,-12.9979002432],[22.0007934812,-13.0032870161],[22.0007934812,-16.1699218241],[22.1326334422,-16.4881893441],[22.4951933348,-16.7794702117],[23.2038331248,-17.4819618182],[23.4784997101,-17.6242420048]]],[[[13.0906094546,-4.6347111834],[12.8214362011,-4.7394318210],[12.5302896207,-5.1140872603],[12.5247962889,-5.7251728691],[12.2171697134,-5.7691903558],[12.2281563768,-5.4775112409],[12.0249031037,-5.0149347095],[12.3984496597,-4.6071504929],[12.8708761864,-4.3976543280],[13.0906094546,-4.6347111834]]]]"
AIA,"[[[[-63.167778,18.16444],[-62.97,18.27222],[-62.993057,18.227219],[-63.167778,18.16444]]]]"
ATG,"[[[[-61.686668,17.024441],[-61.887222,17.10527],[-61.79445,17.16333],[-61.686668,17.024441]]],[[[-61.729172,17.608608],[-61.85306,17.583054],[-61.873062,17.703888],[-61.729172,17.608608]]]]"
IOT,"[[[[72.487198,-7.38194],[72.359146,-7.265278],[72.448868,-7.234445],[72.487198,-7.38194]]]]"
VGB,"[[[[-64.66084,18.383888],[-64.652512,18.441109],[-64.558334,18.451942],[-64.66084,18.383888]]]]"
BMU,"[[[[-64.855835,32.27861],[-64.874451,32.293053],[-64.83806,32.314163],[-64.855835,32.27861]]]]"
WLF,"[[[[-178.04251,-14.31945],[-178.140564,-14.316389],[-178.18945,-14.23611],[-178.04251,-14.31945]]]]"
VAT,"[[[[12.44509,41.903118],[12.451653,41.907989],[12.45666,41.901426],[12.44509,41.903118]]]]"
