%NLP_Dimension,%NLP_Measure,%NLP_Visualization,%NLP_Sheet,%NLP_Distinct,%NLP_Function,%NLP_Condition,%NLP_Visualization_Type,%NLP_Operator,%NLP_Modifier,%NLP_Negation,%NLP_Suppress,%NLP_Sorting
Job,,,,,,,,,,,,
Job Family,,,,,,,,,,,,
Country,,,,,,,,,,,,
Location,,,,,,,,,,,,
Ethnic Group,,,,,,,,,,,,
Position,,,,,,,,,,,,
Question Type,,,,,,,,,,,,
Hire Date,,,,,,,,,,,,
Age Group,,,,,,,,,,,,
Employee Name,,,,,,,,,,,,
Organization Type,,,,,,,,,,,,
Employee Type,,,,,,,,,,,,
Hire Date,,,,,,,,,,,,
Tenure Group,,,,,,,,,,,,
Month,,,,,,,,,,,,
Course_ID,,,,,,,,,,,,
Course Description,,,,,,,,,,,,
Course Type,,,,,,,,,,,,
CountryCode,,,,,,,,,,,,
Gender,,,,,,,,,,,,
,Salary,,,,,,,,,,,
,Age,,,,,,,,,,,
,Score,,,,,,,,,,,
,Responses,,,,,,,,,,,
,Tenure,,,,,,,,,,,
,Year,,,,,,,,,,,
,# Enrollment,,,,,,,,,,,
,Training Hours,,,,,,,,,,,
,Training Cost,,,,,,,,,,,
,# Program Completion,,,,,,,,,,,
,Development Program,,,,,,,,,,,
,,# of Employee by Ethnicity,,,,,,,,,,
,,Avg Salary Gender Comparison,,,,,,,,,,
,,,Dashboard,,,,,,,,,
,,,Women in the workforce,,,,,,,,,
,,,Employee Details,,,,,,,,,
,,,Employee Development,,,,,,,,,
,,,Employee Performance,,,,,,,,,
,,,,Distinct,,,,,,,,
,,,,Unique,,,,,,,,
,,,,,Count,,,,,,,
,,,,,Sum,,,,,,,
,,,,,Average,,,,,,,
,,,,,Max,,,,,,,
,,,,,Min,,,,,,,
,,,,,,In,,,,,,
,,,,,,Is,,,,,,
,,,,,,If,,,,,,
,,,,,,For,,,,,,
,,,,,,From,,,,,,
,,,,,,Where,,,,,,
,,,,,,When,,,,,,
,,,,,,,barchart,,,,,
,,,,,,,linechart,,,,,
,,,,,,,scatterplot,,,,,
,,,,,,,kpi,,,,,
,,,,,,,piechart,,,,,
,,,,,,,table,,,,,
,,,,,,,treemap,,,,,
,,,,,,,,And,,,,
,,,,,,,,Or,,,,
,,,,,,,,,>,,,
,,,,,,,,,<,,,
,,,,,,,,,,Not,,
,,,,,,,,,,Outside,,
,,,,,,,,,,Ignore,,
,,,,,,,,,,,Suppress 0,
,,,,,,,,,,,Suppress missing,
,,,,,,,,,,,,asc
,,,,,,,,,,,,desc
,,,,,,,,,,,,order
,,,,,,,,,,,,ordered
,,,,,,,,,,,,sort
,,,,,,,,,,,,sorted
,,,,,,,,,,,,ascending
,,,,,,,,,,,,descending
