Employee_ID,Question Type,Score,Responses
1154074668,Credibility,0.3237,2
6482812033,Great Place to Work,0.1342,0
5205258793,Credibility,0.0209,2
4356386396,Camaraderie,0.6971,2
9280933274,Client Specific,0.8809,0
4595725801,Respect,0.1127,2
7830493185,Client Specific,0.3657,1
7810978359,Pride,0.6836,2
2704049746,Camaraderie,0.976,0
6299032635,Client Specific,0.134,2
5691492822,Camaraderie,0.7342,1
7537441253,Pride,0.6538,0
8040720091,Great Place to Work,0.3908,1
5629733403,Respect,0.5488,1
8343921767,Respect,0.1422,0
8757671780,Great Place to Work,0.0733,0
5736365318,Client Specific,0.6884,1
1807120640,Credibility,0.0741,2
9796569082,Great Place to Work,0.3908,1
1111969417,Pride,0.2938,1
5203420321,Camaraderie,0.6968,0
4927222993,Pride,0.7954,2
6983571052,Camaraderie,0.4852,1
9909036424,Respect,0.574,0
6626889440,Camaraderie,0.3449,1
8323916329,Credibility,0.5319,2
2681077851,Pride,0.1818,2
7375977834,Pride,0.9429,2
9436568684,Pride,0.7399,0
7596701516,Camaraderie,0.8656,1
1757253540,Respect,0.5774,0
3908301459,Credibility,0.5319,2
5223712391,Fairness,0.0886,0
4082926644,Fairness,0.1548,2
9644498295,Pride,0.8007,1
8208806779,Respect,0.3584,0
8435477680,Fairness,0.0508,1
1663342581,Fairness,0.4124,1
6367226176,Client Specific,0.9256,0
7426473829,Camaraderie,0.8403,2
9291591114,Camaraderie,0.8409,2
5789880752,Fairness,0.471,1
2791865136,Client Specific,0.169,0
2850907643,Credibility,0.5866,0
8923237588,Pride,0.4575,2
6957875357,Pride,0.0163,0
1321301460,Pride,0.2871,0
3384560478,Great Place to Work,0.9444,1
3400838110,Fairness,0.0239,2
1956063376,Fairness,0.8758,0
3255990876,Client Specific,0.134,2
3459398481,Client Specific,0.0463,2
5539605352,Great Place to Work,0.7917,2
8449917899,Respect,0.1552,1
9488403002,Respect,0.4683,1
7620235019,Fairness,0.8452,2
6705099211,Camaraderie,0.1598,2
1787203682,Client Specific,0.7011,1
5641910235,Respect,0.3793,2
3996952904,Great Place to Work,0.0472,1
3063226805,Fairness,0.3402,2
5136866039,Credibility,0.1653,1
2765232192,Great Place to Work,0.8256,1
2221171061,Fairness,0.8333,2
6274686919,Credibility,0.8921,1
4072364171,Great Place to Work,0.6183,0
9137991269,Client Specific,0.4115,1
2454022301,Camaraderie,0.125,2
3078303337,Credibility,0.4894,0
5599448945,Great Place to Work,0.3908,1
4298490418,Pride,0.0828,0
2191708882,Pride,0.3312,0
5985469288,Pride,0.1043,1
1628385119,Respect,0.2557,0
4182602034,Great Place to Work,0.756,1
5293280283,Respect,0.6224,2
8419036335,Credibility,0.9157,0
5779506895,Great Place to Work,0.756,1
4040434625,Great Place to Work,0.7595,0
6563966539,Pride,0.0322,1
4296647707,Pride,0.3927,0
3522106806,Pride,0.669,0
3575221697,Fairness,0.0966,1
5227400461,Respect,0.5488,1
9836293856,Great Place to Work,0.3516,1
2313324610,Great Place to Work,0.9682,0
7637766202,Great Place to Work,0.2689,0
2842284308,Fairness,0.9753,0
7584090232,Fairness,0.0966,1
3959258397,Camaraderie,0.15,1
2476440535,Fairness,0.0239,2
3441278669,Credibility,0.7559,1
8219832844,Pride,0.0942,2
5864964591,Pride,0.1043,1
5320519871,Pride,0.5499,1
7003224690,Client Specific,0.564,2
7918109363,Client Specific,0.4196,0
4506680170,Great Place to Work,0.8833,1
9519071049,Fairness,0.9078,2
5147588517,Client Specific,0.8737,1
1264965799,Credibility,0.0848,2
1126267115,Client Specific,0.0535,0
3013174798,Respect,0.1546,2
5717794630,Respect,0.7957,0
5285684267,Pride,0.669,0
9647879070,Great Place to Work,0.085,0
6808147960,Great Place to Work,0.5346,1
6253448062,Credibility,0.4075,2
5694782998,Credibility,0.2186,0
4594628016,Credibility,0.4585,1
9001321262,Respect,0.5477,1
5240334404,Credibility,0.708,1
3146016332,Camaraderie,0.1227,0
4560806486,Great Place to Work,0.2986,0
7698705991,Pride,0.1574,1
6693753136,Camaraderie,0.7156,0
8371263609,Camaraderie,0.4288,0
6795220904,Fairness,0.6548,0
2820549540,Fairness,0.365,2
9186295403,Camaraderie,0.125,2
3986084726,Client Specific,0.8219,0
4006747139,Great Place to Work,0.5767,0
7906890975,Credibility,0.6658,1
5986732906,No Data,0,0
6295275688,Credibility,0.7559,1
3392108281,Respect,0.4017,0
1923116577,Respect,0.4199,2
5198906792,Fairness,0.436,2
4876201947,Fairness,0.6249,0
3441430197,Respect,0.5774,0
7732182078,Credibility,0.4585,1
7678394317,Camaraderie,0.6485,1
2162131733,Great Place to Work,0.085,0
8521574868,Credibility,0.4831,2
3900168206,Great Place to Work,0.5646,1
4949175516,Client Specific,0.9371,0
1914458274,Respect,0.2636,1
1237251493,Camaraderie,0.3449,1
7612947357,Camaraderie,0.5491,2
6009188757,Credibility,0.2296,1
8806033134,No Data,0,0
5903238720,Credibility,0.9579,0
8703961372,Client Specific,0.606,2
4135886298,Great Place to Work,0.7844,1
3560055096,Great Place to Work,0.7917,2
3127717971,Great Place to Work,0.8279,0
3681999312,Camaraderie,0.0784,1
8136234283,Credibility,0.8921,1
9200070169,Camaraderie,0.0388,1
6617829004,Camaraderie,0.6311,1
5314530796,No Data,0,0
4707823859,Client Specific,0.9526,1
8411082691,Pride,0.9125,1
8874114354,Respect,0.4608,0
9988817109,Pride,0.6813,0
3022204504,Camaraderie,0.5951,2
5345110893,Client Specific,0.7372,1
9107185999,Great Place to Work,0.2158,0
2850800090,Great Place to Work,0.2986,0
1530439588,Fairness,0.0696,2
9648964669,Fairness,0.2899,2
7821058697,Camaraderie,0.6001,1
9610657691,Client Specific,0.0223,0
1435328589,Fairness,0.0758,2
4936467806,Pride,0.7973,1
3618705537,Respect,0.505,0
8348359531,Great Place to Work,0.4826,2
4608073764,Pride,0.7954,2
8371791309,Fairness,0.8102,1
1118724610,Credibility,0.1624,0
3541444672,Pride,0.3927,0
4838280147,Camaraderie,0.363,0
8030564520,Client Specific,0.0976,1
3316450118,Great Place to Work,0.6573,1
4537243843,Great Place to Work,0.0733,0
7972844441,Great Place to Work,0.6079,1
9149875111,Fairness,0.471,1
6167285707,Client Specific,0.0535,0
6247323883,Pride,0.2311,1
9832621680,Pride,0.3448,0
2600491311,Pride,0.2938,1
4281148910,Client Specific,0.3657,1
7619709968,Credibility,0.6958,0
3017980787,Fairness,0.1735,2
6692417462,Fairness,0.6999,1
7728026707,Fairness,0.5732,2
5666663381,Great Place to Work,0.4847,1
3714360131,Great Place to Work,0.6575,0
4536005126,Respect,0.505,0
7732419967,Pride,0.3312,0
9492459297,Credibility,0.8492,2
9608934190,Respect,0.6072,2
8069730864,Credibility,0.2186,0
6812232335,Camaraderie,0.2589,0
3210053443,Pride,0.5552,0
4473946889,Fairness,0.436,2
8754640685,Respect,0.4199,2
6695436901,Pride,0.9429,2
8857748773,Respect,0.9892,2
9416711595,Fairness,0.9753,0
1602127816,Camaraderie,0.6434,0
7347853978,Respect,0.5271,2
9315862125,Respect,0.4691,2
3018500010,Respect,0.7155,0
2535043822,Pride,0.8282,1
8223151100,Great Place to Work,0.0538,2
6778946452,Respect,0.1027,0
3695653279,Fairness,0.3552,2
5748809708,Camaraderie,0.6971,2
2846176359,Respect,0.6886,0
3450235260,Fairness,0.0978,0
3171804216,Respect,0.2087,1
5516971482,Credibility,0.4585,1
2285180621,Respect,0.2713,2
2236087057,Camaraderie,0.2589,0
8838988410,Fairness,0.8398,0
2441200150,Client Specific,0.5505,1
7512928644,Camaraderie,0.2589,0
9662652015,Fairness,0.0508,1
8340977562,Great Place to Work,0.756,1
3034625053,Great Place to Work,0.0698,1
1767810185,Pride,0.9125,1
5459205309,Great Place to Work,0.7428,2
7489946153,Pride,0.7399,0
3749611642,Pride,0.5519,0
7359395556,Client Specific,0.7437,1
3252591556,Pride,0.5699,2
8183138105,Respect,0.1228,2
3894428147,Great Place to Work,0.0698,1
2473991182,Fairness,0.8925,1
6817224820,Credibility,0.9998,2
6319533454,Camaraderie,0.9101,0
2994356685,Client Specific,0.9371,0
9091306262,Client Specific,0.7437,1
4102866384,Client Specific,0.3931,1
9716515011,Credibility,0.8106,1
9263915485,Client Specific,0.1591,0
5345563888,Pride,0.838,0
7929069201,Pride,0.5176,2
4915423923,Respect,0.3151,1
5856858889,Client Specific,0.015,2
8997723261,Pride,0.377,0
1124066776,Great Place to Work,0.8279,0
6209337446,Credibility,0.9157,0
8227288458,Pride,0.5667,0
3129924138,Client Specific,0.8737,1
8330328729,Fairness,0.0758,2
9115291171,Camaraderie,0.6434,0
8157430754,Pride,0.677,2
6284375720,Pride,0.3448,0
1143449677,Respect,0.2252,0
8290945688,Respect,0.5551,1
8896526230,Credibility,0.5474,2
2602245542,Respect,0.2557,0
9917704794,Fairness,0.8333,2
8784586588,Client Specific,0.1596,1
9188607003,Client Specific,0.1554,2
7518103917,Great Place to Work,0.7041,0
6682716475,Client Specific,0.5398,1
3951791127,Great Place to Work,0.5128,1
7300274636,Great Place to Work,0.5346,1
2343257268,Fairness,0.6421,0
3615676561,Credibility,0.2186,0
8927650451,Camaraderie,0.6971,2
7270700136,Credibility,0.5354,2
4404637018,Great Place to Work,0.7844,1
2624679671,Pride,0.1818,2
7432325151,Great Place to Work,0.1975,2
9606068399,Pride,0.7399,0
6072577370,Credibility,0.9998,2
9376500977,Respect,0.2087,1
7465489705,Pride,0.1043,1
4196244875,Respect,0.315,2
4899704191,Credibility,0.3237,2
5102151764,Great Place to Work,0.6184,2
1445221371,Respect,0.2567,1
9898108906,Client Specific,0.0535,0
9315379460,Fairness,0.7037,1
9513546095,Client Specific,0.9047,0
8569111294,Respect,0.1302,1
9674442609,Credibility,0.5319,2
2097923490,Pride,0.0828,0
3720167477,Respect,0.2506,1
3842042287,Respect,0.1659,0
3510597546,Pride,0.4603,1
3846837149,Camaraderie,0.5491,2
6479068862,Client Specific,0.1591,0
9326188829,Fairness,0.1349,0
1331161392,Fairness,0.4085,2
5343912972,Respect,0.8614,1
1555983755,Credibility,0.2069,1
9835461510,Fairness,0.6559,2
9249957932,No Data,0,0
8803235159,Respect,0.4608,0
9530881775,Fairness,0.3052,0
4185507032,Credibility,0.708,1
9153380393,Respect,0.6856,0
9121179580,Great Place to Work,0.5349,2
1825746430,Fairness,0.0886,0
5332597096,Great Place to Work,0.5646,1
2728169229,Pride,0.5667,0
4015302658,Client Specific,0.5704,0
3621241781,Respect,0.2506,1
7179183959,Respect,0.2557,0
4378078778,Respect,0.0743,0
6385452482,Client Specific,0.1911,0
3440045780,Respect,0.2567,1
6935011545,Credibility,0.4932,0
9696099493,No Data,0,0
5563768810,Credibility,0.6958,0
7174628045,Credibility,0.3237,2
3033782111,Fairness,0.0972,1
1714457935,Camaraderie,0.4852,1
1898016399,Camaraderie,0.1497,1
5448360972,Fairness,0.6559,2
4160934024,Pride,0.5519,0
3821283446,Respect,0.5329,1
8001585006,Respect,0.4881,1
5421075291,Credibility,0.1624,0
4948086208,Respect,0.3059,0
1566163698,Client Specific,0.7437,1
7781267166,Pride,0.377,0
2594615618,Great Place to Work,0.5774,2
8334149254,Pride,0.623,1
8910144699,Pride,0.9125,1
6576147079,Respect,0.3584,0
8173951572,Pride,0.3193,2
5704214307,Camaraderie,0.2977,1
3364619678,Pride,0.7973,1
3518711725,Client Specific,0.8737,1
7539399994,Great Place to Work,0.6573,1
3695108625,Credibility,0.2069,1
5574662420,Great Place to Work,0.5349,2
1673739751,Pride,0.9482,0
9829958279,Credibility,0.3947,0
8778728908,Pride,0.5975,0
1124582820,Respect,0.3416,1
2621634801,Camaraderie,0.2977,1
1971082157,Pride,0.8282,1
5178707970,Pride,0.1926,2
6787926885,Respect,0.5714,1
3263981077,Pride,0.0828,0
2702463467,Respect,0.1808,1
6120414733,Camaraderie,0.6968,0
5666365623,Client Specific,0.2269,1
3740210003,Camaraderie,0.7883,2
3272474606,Client Specific,0.8036,1
9525398678,Pride,0.2871,0
8995250595,Fairness,0.9828,1
8677600224,Fairness,0.6559,2
8132612970,Client Specific,0.6081,0
9261389838,Respect,0.3807,1
4615836143,Client Specific,0.0463,2
3996833165,Camaraderie,0.0496,2
6743056509,Camaraderie,0.5491,2
8614521026,Credibility,0.4831,2
5447501606,Great Place to Work,0.7595,0
7050881915,Great Place to Work,0.1342,0
9822663731,Pride,0.2871,0
9317105611,Fairness,0.3052,0
2404417991,Pride,0.9039,0
3430566787,Great Place to Work,0.7959,2
7821195920,Pride,0.7973,1
2797637515,Fairness,0.0188,0
8423325750,Great Place to Work,0.839,2
1547888649,Great Place to Work,0.7171,0
2724872694,Fairness,0.93,2
8097457885,Camaraderie,0.9734,2
6935757001,Pride,0.7355,2
9441584481,Camaraderie,0.6267,1
6528594228,Pride,0.0163,0
5342977311,Respect,0.8614,1
9229146639,Great Place to Work,0.9444,1
4916016260,Client Specific,0.8737,1
6374830139,Camaraderie,0.2977,1
4773453606,Respect,0.6452,1
7363499005,Pride,0.0239,0
5680059856,Pride,0.9246,2
3025841712,Respect,0.9911,0
2435436248,Fairness,0.7925,0
9310276773,Camaraderie,0.5343,0
8374882804,Camaraderie,0.1971,0
7113681899,Camaraderie,0.6803,1
9210544162,Respect,0.7806,1
5202400949,Client Specific,0.1593,2
9823944303,Respect,0.5271,2
2056861983,Camaraderie,0.2712,2
2065465715,Pride,0.224,2
6917584207,Camaraderie,0.8656,1
3838550779,Respect,0.8614,1
6977018250,Camaraderie,0.9686,0
1968625386,Camaraderie,0.5763,2
9883886443,Camaraderie,0.4288,0
6912300321,Pride,0.5975,0
8504467540,Pride,0.3448,0
2917961544,Camaraderie,0.131,1
1551936997,Great Place to Work,0.6573,1
6137749353,Pride,0.3779,0
1472651693,Respect,0.8136,1
9857593112,Respect,0.6886,0
7644934654,Respect,0.315,2
7123079299,Fairness,0.6249,0
5168137550,Client Specific,0.564,2
7705597347,Great Place to Work,0.5346,1
7297536532,Respect,0.817,1
4130985471,Pride,0.5667,0
1802839173,Camaraderie,0.8656,1
3715120951,Fairness,0.9078,2
1528080304,Fairness,0.0696,2
5773121515,Respect,0.6579,0
1652906735,Client Specific,0.5505,1
9835491180,Client Specific,0.0942,2
3933028644,Great Place to Work,0.839,2
9593432744,Credibility,0.9157,0
3753170967,Fairness,0.1735,2
9517771402,Camaraderie,0.4181,0
6936969227,Credibility,0.3335,1
5540378358,Client Specific,0.1596,1
3258254263,Pride,0.3493,1
6742538875,Camaraderie,0.15,1
3598170280,Pride,0.0942,2
8328042560,Client Specific,0.8804,2
9914792908,Credibility,0.6658,1
6158773634,Camaraderie,0.7156,0
2747469478,Fairness,0.471,1
3130578994,Respect,0.4683,1
6533659299,Camaraderie,0.3613,2
4333858489,Respect,0.6736,1
1904940605,Respect,0.1552,1
9054432974,Credibility,0.5354,2
7462184164,Client Specific,0.1911,0
9892467922,Client Specific,0.2269,1
6863226890,Respect,0.5329,1
2610563701,Great Place to Work,0.2986,0
3723045455,Camaraderie,0.3527,2
3655456966,Camaraderie,0.4207,1
9048652119,Camaraderie,0.4288,0
3408888710,Great Place to Work,0.7595,0
8153157234,Pride,0.6163,0
7667638990,Credibility,0.5319,2
9548998408,Pride,0.7973,1
2074950535,Pride,0.0322,1
4987003008,Fairness,0.6412,1
5336674584,Client Specific,0.7223,0
9807950655,Great Place to Work,0.5707,1
5944361156,Credibility,0.4585,1
8328857951,Fairness,0.1349,0
6016404893,Respect,0.5271,2
4541763199,Pride,0.677,2
6979468663,Client Specific,0.0346,1
7291677792,Pride,0.1926,2
5145740508,Fairness,0.0978,0
3544815381,Respect,0.7155,0
5241579479,Camaraderie,0.1971,0
2247098816,Client Specific,0.1593,2
8831994798,Fairness,0.4124,1
2384055985,Fairness,0.6421,0
7918736139,Respect,0.6452,1
7742104530,Pride,0.8282,1
7323106129,Fairness,0.8102,1
8649003240,Client Specific,0.6081,0
3909050623,Great Place to Work,0.0472,1
4304581218,Camaraderie,0.7342,1
4035415649,Pride,0.7209,0
8201744821,Pride,0.1273,2
2848482131,Great Place to Work,0.0538,2
8026651276,Credibility,0.5319,2
2359222835,Fairness,0.9149,2
4760271178,Respect,0.4561,0
5249725977,Credibility,0.4094,1
9036895434,Fairness,0.8102,1
3575452168,Camaraderie,0.4183,0
8370697763,Pride,0.7399,0
1529991361,Credibility,0.2069,1
9972574975,Respect,0.1881,0
6994542015,Respect,0.9911,0
8323931694,Respect,0.4683,1
8816556930,Respect,0.3584,0
4451853963,Client Specific,0.7088,1
3428666856,Client Specific,0.7437,1
1627893977,Pride,0.3448,0
3307881885,Pride,0.512,2
2212688128,Credibility,0.4997,1
6441737280,Pride,0.7954,2
5924186176,Pride,0.5519,0
5968050426,Respect,0.2015,0
3140602641,Respect,0.9892,2
5821622212,Fairness,0.0188,0
3515868186,Camaraderie,0.7156,0
1554549535,Fairness,0.3402,2
9074247678,Pride,0.6158,0
3274593353,Respect,0.4017,0
3173013793,Camaraderie,0.6257,2
2090491188,Respect,0.5329,1
2277620633,Camaraderie,0.7027,0
5897547403,Respect,0.817,1
6382710668,Great Place to Work,0.7917,2
5892390145,Great Place to Work,0.1342,0
6134510570,Camaraderie,0.6267,1
4094672732,Camaraderie,0.5763,2
2487949265,Fairness,0.436,2
3264608383,Pride,0.6836,2
5842942661,Fairness,0.2492,2
5049671596,Fairness,0.5732,2
1604289478,Camaraderie,0.8827,1
2193799548,Respect,0.9003,1
4665178192,Camaraderie,0.7027,0
6197982364,Pride,0.1818,2
7536527315,Credibility,0.4585,1
2932242287,Respect,0.1395,1
2399936781,Pride,0.0322,1
